track_id,playlist_id,date_added,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2pv9AdhjEmKlp6A9pyupb0,1vS1nakUrLYkTd3W0yRMYe,2017-01-03T06:14:30Z,I Think You're Alright,Jay Som,0.557,0.475,2,-7.971,1,0.0279,0.00249,0.178,0.629,0.417,140.129,audio_features,2pv9AdhjEmKlp6A9pyupb0,spotify:track:2pv9AdhjEmKlp6A9pyupb0,https://api.spotify.com/v1/tracks/2pv9AdhjEmKlp6A9pyupb0,https://api.spotify.com/v1/audio-analysis/2pv9AdhjEmKlp6A9pyupb0,226286,4
4g3lFyxT7bIr5FSKOoqvcV,1vS1nakUrLYkTd3W0yRMYe,2017-01-04T21:42:55Z,Cool Party,Mal Blum,0.547,0.448,9,-7.826,1,0.0358,0.239,0.00225,0.158,0.544,116.299,audio_features,4g3lFyxT7bIr5FSKOoqvcV,spotify:track:4g3lFyxT7bIr5FSKOoqvcV,https://api.spotify.com/v1/tracks/4g3lFyxT7bIr5FSKOoqvcV,https://api.spotify.com/v1/audio-analysis/4g3lFyxT7bIr5FSKOoqvcV,257640,4
0JQZBVhtftU5L7s4jb7Lbf,1vS1nakUrLYkTd3W0yRMYe,2017-01-08T11:59:38Z,Left It With The Moon,The Shacks,0.566,0.36,0,-9.094,1,0.033,0.34,0.00329,0.0974,0.381,119.121,audio_features,0JQZBVhtftU5L7s4jb7Lbf,spotify:track:0JQZBVhtftU5L7s4jb7Lbf,https://api.spotify.com/v1/tracks/0JQZBVhtftU5L7s4jb7Lbf,https://api.spotify.com/v1/audio-analysis/0JQZBVhtftU5L7s4jb7Lbf,177894,4
5CAadCIjbkXYNgXvu3HQAE,1vS1nakUrLYkTd3W0yRMYe,2017-01-12T03:06:41Z,Fear & Force,Vagabon,0.596,0.223,0,-11.288,1,0.0275,0.736,0.00182,0.108,0.0384,141.848,audio_features,5CAadCIjbkXYNgXvu3HQAE,spotify:track:5CAadCIjbkXYNgXvu3HQAE,https://api.spotify.com/v1/tracks/5CAadCIjbkXYNgXvu3HQAE,https://api.spotify.com/v1/audio-analysis/5CAadCIjbkXYNgXvu3HQAE,213607,4
67F3s7JK4KG79hkJLu4y4w,1vS1nakUrLYkTd3W0yRMYe,2017-01-12T04:22:38Z,Sharks,Vagabon,0.418,0.67,4,-8.346,1,0.0362,0.00719,4.52e-05,0.109,0.415,103.6,audio_features,67F3s7JK4KG79hkJLu4y4w,spotify:track:67F3s7JK4KG79hkJLu4y4w,https://api.spotify.com/v1/tracks/67F3s7JK4KG79hkJLu4y4w,https://api.spotify.com/v1/audio-analysis/67F3s7JK4KG79hkJLu4y4w,207111,3
6nzr9B03B1g2hgRUCc2oEV,1vS1nakUrLYkTd3W0yRMYe,2017-03-16T23:27:21Z,Carefully,Little People,0.843,0.465,11,-13.365,1,0.0683,0.0835,0.811,0.0875,0.649,133.37,audio_features,6nzr9B03B1g2hgRUCc2oEV,spotify:track:6nzr9B03B1g2hgRUCc2oEV,https://api.spotify.com/v1/tracks/6nzr9B03B1g2hgRUCc2oEV,https://api.spotify.com/v1/audio-analysis/6nzr9B03B1g2hgRUCc2oEV,219560,4
5qC17VMNoZdF2gAw28FtsV,3scPGVlAn7d74uXRtFnmUC,2017-02-05T05:06:27Z,Monday Loop,Tomppabeats,0.742,0.384,10,-8.533,1,0.043,0.872,0.00305,0.132,0.354,69.006,audio_features,5qC17VMNoZdF2gAw28FtsV,spotify:track:5qC17VMNoZdF2gAw28FtsV,https://api.spotify.com/v1/tracks/5qC17VMNoZdF2gAw28FtsV,https://api.spotify.com/v1/audio-analysis/5qC17VMNoZdF2gAw28FtsV,91505,3
6Pvr6ioPciOP4Qq37t3Myt,3scPGVlAn7d74uXRtFnmUC,2017-02-05T05:00:55Z,Like Someone in Love,Tomppabeats,0.608,0.429,11,-11.138,0,0.2,0.943,0.000151,0.173,0.199,82.003,audio_features,6Pvr6ioPciOP4Qq37t3Myt,spotify:track:6Pvr6ioPciOP4Qq37t3Myt,https://api.spotify.com/v1/tracks/6Pvr6ioPciOP4Qq37t3Myt,https://api.spotify.com/v1/audio-analysis/6Pvr6ioPciOP4Qq37t3Myt,64390,4
5nUOgQQ6GWrDi3jfv3Rsry,3scPGVlAn7d74uXRtFnmUC,2017-02-07T06:11:46Z,Lived and Died Alone,Shamir,0.652,0.133,9,-8.504,1,0.0548,0.991,4.25e-05,0.12,0.175,120.505,audio_features,5nUOgQQ6GWrDi3jfv3Rsry,spotify:track:5nUOgQQ6GWrDi3jfv3Rsry,https://api.spotify.com/v1/tracks/5nUOgQQ6GWrDi3jfv3Rsry,https://api.spotify.com/v1/audio-analysis/5nUOgQQ6GWrDi3jfv3Rsry,264000,4
0OMNQyneWmmZtTQpULYJcl,3scPGVlAn7d74uXRtFnmUC,2017-02-11T18:23:14Z,It's Oh So Quiet,Björk,0.474,0.136,3,-14.114,1,0.0595,0.631,0,0.0717,0.2,124.412,audio_features,0OMNQyneWmmZtTQpULYJcl,spotify:track:0OMNQyneWmmZtTQpULYJcl,https://api.spotify.com/v1/tracks/0OMNQyneWmmZtTQpULYJcl,https://api.spotify.com/v1/audio-analysis/0OMNQyneWmmZtTQpULYJcl,217733,3
3PwNwe6izynT6XVX4vgfPc,3scPGVlAn7d74uXRtFnmUC,2017-02-14T08:04:07Z,"Dee, It May All End Tomorrow",my little airport,0.363,0.356,0,-13.199,1,0.0383,0.964,0.697,0.0614,0.51,118.535,audio_features,3PwNwe6izynT6XVX4vgfPc,spotify:track:3PwNwe6izynT6XVX4vgfPc,https://api.spotify.com/v1/tracks/3PwNwe6izynT6XVX4vgfPc,https://api.spotify.com/v1/audio-analysis/3PwNwe6izynT6XVX4vgfPc,103533,4
71SERqGA0CKmQnt0jWDPTX,3scPGVlAn7d74uXRtFnmUC,2017-02-16T22:00:36Z,Leaving The Body,Aye Nako,0.269,0.862,11,-4.806,1,0.0559,0.0117,0.483,0.112,0.433,141.492,audio_features,71SERqGA0CKmQnt0jWDPTX,spotify:track:71SERqGA0CKmQnt0jWDPTX,https://api.spotify.com/v1/tracks/71SERqGA0CKmQnt0jWDPTX,https://api.spotify.com/v1/audio-analysis/71SERqGA0CKmQnt0jWDPTX,214008,3
